rank,address,proposed_name,original_name,module,size_bytes,confidence,call_frequency,source
1,0x507310,RegAlloc_Helper,ctor_335_0,register_allocation,10614,LOW,2,critical_functions_top_100
2,0x5dbfc0,CompilationPipeline_Stage,sub_5DBFC0,compilation_pipeline,11165,LOW,8,critical_functions_top_100
3,0x672a20,CompilationPipeline_Main,sub_672A20,compilation_pipeline,25833,HIGH,14,critical_functions_top_100
4,0x706250,CompilationPipeline_Stage,sub_706250,compilation_pipeline,10742,LOW,2,critical_functions_top_100
5,0x760bd0,CompilationPipeline_LowerIR,sub_760BD0,compilation_pipeline,21077,MEDIUM,5,critical_functions_top_100
6,0x8f9c90,CompilationPipeline_Stage,sub_8F9C90,compilation_pipeline,10066,LOW,2,critical_functions_top_100
7,0x95eb40,ArchDetect_Capabilities,sub_95EB40,architecture_detection,14724,MEDIUM,2,critical_functions_top_100
8,0x9e3720,PTXEmitter_HandleGeneric,sub_9E3720,ptx_emission,12899,MEDIUM,3,critical_functions_top_100
9,0x9e7b10,PTXEmitter_Generic,sub_9E7B10,ptx_emission,11845,MEDIUM,3,critical_functions_top_100
10,0x9ebd80,RegisterAllocator_BuildIG,sub_9EBD80,register_allocation,14327,MEDIUM,2,critical_functions_top_100
11,0x9f2a40,PTXEmitter_Main,sub_9F2A40,ptx_emission,45628,HIGH,2,critical_functions_top_100
12,0xa2d2b0,RegAlloc_Helper,sub_A2D2B0,register_allocation,11760,LOW,3,critical_functions_top_100
13,0xa38520,RegAlloc_Helper,sub_A38520,register_allocation,10173,LOW,3,critical_functions_top_100
14,0xa8a170,TensorCore_GenerateWMMA,sub_A8A170,tensor_core_codegen,16607,MEDIUM,2,critical_functions_top_100
15,0xa8e250,TensorCore_Helper,sub_A8E250,tensor_core_codegen,11871,LOW,3,critical_functions_top_100
16,0xb612d0,BuildInterferenceGraph,sub_B612D0,register_allocation,39329,HIGH,8,critical_functions_top_100
17,0xb76cb0,CompilationPipeline_Transform,sub_B76CB0,compilation_pipeline,19962,MEDIUM,2,critical_functions_top_100
18,0xbb0d30,RegisterAllocator_InsertSpillCode,sub_BB0D30,register_allocation,17306,MEDIUM,2,critical_functions_top_100
19,0x1081400,RegisterAllocator_ComputeLiveness,sub_1081400,register_allocation,12832,MEDIUM,2,critical_functions_top_100
20,0x1090bd0,RegAlloc_Helper,sub_1090BD0,register_allocation,10072,LOW,1,critical_functions_top_100
21,0x1221570,TensorCore_PatternMatch,sub_1221570,tensor_core_codegen,12799,MEDIUM,8,critical_functions_top_100
22,0x1257fe0,TensorCore_PatternMatch,sub_1257FE0,tensor_core_codegen,14896,MEDIUM,2,critical_functions_top_100
23,0x12c8dd0,TensorCore_PatternMatch,sub_12C8DD0,tensor_core_codegen,14708,MEDIUM,2,critical_functions_top_100
24,0x12d6300,PassManager_Main,sub_12D6300,register_allocation,27423,MEDIUM,3,critical_functions_top_100
25,0x12e1ef0,RegAlloc_Helper,sub_12E1EF0,register_allocation,10509,LOW,2,critical_functions_top_100
26,0x138aaf0,PassManager_Coordinator,sub_138AAF0,register_allocation,11972,MEDIUM,2,critical_functions_top_100
27,0x1505110,PassManager_ExecutePasses,sub_1505110,register_allocation,12981,MEDIUM,3,critical_functions_top_100
28,0x150b5f0,RegAlloc_Helper,sub_150B5F0,register_allocation,11443,LOW,2,critical_functions_top_100
29,0x1538ec0,RegisterAllocator_ComputeLiveness,sub_1538EC0,register_allocation,12415,MEDIUM,2,critical_functions_top_100
30,0x1608300,CompilationPipeline_Stage,sub_1608300,compilation_pipeline,17876,LOW,2,critical_functions_top_100
31,0x18612a0,RegAlloc_Helper,sub_18612A0,register_allocation,11698,LOW,2,critical_functions_top_100
32,0x188c730,RegisterAllocator_ComputeLiveness,sub_188C730,register_allocation,12666,MEDIUM,3,critical_functions_top_100
33,0x1c67780,RegisterAllocator_ComputeLiveness,sub_1C67780,register_allocation,12087,MEDIUM,2,critical_functions_top_100
34,0x1ce3af0,RegAlloc_Helper,sub_1CE3AF0,register_allocation,11483,LOW,2,critical_functions_top_100
35,0x1d07bb0,RegAlloc_Helper,sub_1D07BB0,register_allocation,11067,LOW,2,critical_functions_top_100
36,0x1d830e0,RegAlloc_Helper,sub_1D830E0,register_allocation,11356,LOW,2,critical_functions_top_100
37,0x1d97fa0,RegisterAllocator_BuildIG,sub_1D97FA0,register_allocation,14966,MEDIUM,2,critical_functions_top_100
38,0x1e25a30,RegAlloc_Helper,sub_1E25A30,register_allocation,11342,LOW,2,critical_functions_top_100
39,0x1e3d600,RegAlloc_Helper,sub_1E3D600,register_allocation,11585,LOW,2,critical_functions_top_100
40,0x1e8f660,RegAlloc_Helper,sub_1E8F660,register_allocation,11584,LOW,3,critical_functions_top_100
41,0x1e968b0,RegAlloc_Helper,sub_1E968B0,register_allocation,10249,LOW,2,critical_functions_top_100
42,0x1ec7760,RegisterAllocator_ComputeLiveness,sub_1EC7760,register_allocation,13463,MEDIUM,2,critical_functions_top_100
43,0x2079c70,RegisterAllocator_BuildIG,sub_2079C70,register_allocation,16559,MEDIUM,3,critical_functions_top_100
44,0x235e150,RegisterAllocator_BuildIG,sub_235E150,register_allocation,14508,MEDIUM,2,critical_functions_top_100
45,0x23c2890,RegisterAllocator_BuildIG,sub_23C2890,register_allocation,14656,MEDIUM,3,critical_functions_top_100
46,0x244ab10,RegisterAllocator_ComputeLiveness,sub_244AB10,register_allocation,13855,MEDIUM,2,critical_functions_top_100
47,0x24b1e50,RegAlloc_Helper,sub_24B1E50,register_allocation,11629,LOW,2,critical_functions_top_100
48,0x2a5dc40,RegisterAllocator_ComputeLiveness,sub_2A5DC40,register_allocation,12319,MEDIUM,2,critical_functions_top_100
49,0x2a963a0,RegAlloc_Helper,sub_2A963A0,register_allocation,10556,LOW,2,critical_functions_top_100
50,0x2d97f20,RegisterAllocator_Main,sub_2D97F20,register_allocation,29692,MEDIUM,3,critical_functions_top_100
51,0x2ef30a0,RegisterAllocator_InsertSpillCode,sub_2EF30A0,register_allocation,18305,MEDIUM,2,critical_functions_top_100
52,0x2effe00,RegAlloc_Helper,sub_2EFFE00,register_allocation,11277,LOW,2,critical_functions_top_100
53,0x2f02a10,RegAlloc_Helper,sub_2F02A10,register_allocation,11061,LOW,6,critical_functions_top_100
54,0x2f1fbf0,RegAlloc_Helper,sub_2F1FBF0,register_allocation,11745,LOW,2,critical_functions_top_100
55,0x2f9dac0,InstructionSelector_Main,sub_2F9DAC0,instruction_selection,10721,MEDIUM,2,critical_functions_top_100
56,0x3048c30,ArchDetect_Capabilities,sub_3048C30,architecture_detection,14804,MEDIUM,2,critical_functions_top_100
57,0x33583e0,RegAlloc_Helper,sub_33583E0,register_allocation,11075,LOW,2,critical_functions_top_100
58,0x338ba40,RegisterAllocator_BuildIG,sub_338BA40,register_allocation,14995,MEDIUM,4,critical_functions_top_100
59,0x3418c90,PTXEmitter_EmitKernel,sub_3418C90,ptx_emission,13679,MEDIUM,4,critical_functions_top_100
60,0x389c540,TensorCore_Helper,sub_389C540,tensor_core_codegen,10656,LOW,8,critical_functions_top_100
61,0x3921ce0,RegisterAllocator_ComputeLiveness,sub_3921CE0,register_allocation,12634,MEDIUM,1,critical_functions_top_100
62,0x7b8b50,OptFramework_Core,sub_7B8B50,optimization_framework,12828,LOW,275,critical_functions_top_100
63,0x69ed20,OptFramework_Core,sub_69ED20,optimization_framework,15965,LOW,77,critical_functions_top_100
64,0x3402ea0,OptFramework_Core,sub_3402EA0,optimization_framework,11746,LOW,61,critical_functions_top_100
65,0x4061a0,RegAlloc_HotUtility,.memmove,register_allocation,6,LOW,2624,critical_functions_top_100
66,0x4063f0,RegAlloc_HotUtility,.memset,register_allocation,6,LOW,1106,critical_functions_top_100
67,0x406d10,RegAlloc_HotUtility,.memcpy,register_allocation,6,LOW,5378,critical_functions_top_100
68,0x4134a7,PassManager_Main,sub_4134A7,optimization_framework,18454,MEDIUM,2,critical_functions_top_100
69,0x4397f0,PassManager_Main,ctor_010_0,optimization_framework,104701,MEDIUM,2,critical_functions_top_100
70,0x456120,GlobalConstructor_Unknown,ctor_027,unknown,208947,LOW,1,critical_functions_top_100
71,0x490b90,ISel_Helper,ctor_053_0,instruction_selection,5396,LOW,2,critical_functions_top_100
72,0x4a64d0,OptFramework_Core,ctor_107_0,optimization_framework,16204,LOW,2,critical_functions_top_100
73,0x4b0180,OptFramework_Core,ctor_133_0,optimization_framework,11204,LOW,2,critical_functions_top_100
74,0x4b4360,Unknown_Function,ctor_145,unknown,98907,LOW,1,critical_functions_top_100
75,0x50c890,ArchDetect_Helper,ctor_356_0,architecture_detection,7819,LOW,2,critical_functions_top_100
